COUNTY_CODE,STATENAME,COUNTY,MA_REGION_CODE,MA_REGION,PDP_REGION_CODE,PDP_REGION
06220,Colorado,GARFIELD,20,Colorado and New Mexico,27,Colorado
06230,Colorado,GILPIN,20,Colorado and New Mexico,27,Colorado
06240,Colorado,GRAND,20,Colorado and New Mexico,27,Colorado
06250,Colorado,GUNNISON,20,Colorado and New Mexico,27,Colorado
06260,Colorado,HINSDALE,20,Colorado and New Mexico,27,Colorado
06270,Colorado,HUERFANO,20,Colorado and New Mexico,27,Colorado
06280,Colorado,JACKSON,20,Colorado and New Mexico,27,Colorado
06290,Colorado,JEFFERSON,20,Colorado and New Mexico,27,Colorado
06300,Colorado,KIOWA,20,Colorado and New Mexico,27,Colorado
06310,Colorado,KIT CARSON,20,Colorado and New Mexico,27,Colorado
06320,Colorado,LAKE,20,Colorado and New Mexico,27,Colorado
06330,Colorado,LA PLATA,20,Colorado and New Mexico,27,Colorado
06340,Colorado,LARIMER,20,Colorado and New Mexico,27,Colorado
06350,Colorado,LAS ANIMAS,20,Colorado and New Mexico,27,Colorado
06360,Colorado,LINCOLN,20,Colorado and New Mexico,27,Colorado
06370,Colorado,LOGAN,20,Colorado and New Mexico,27,Colorado
06380,Colorado,MESA,20,Colorado and New Mexico,27,Colorado
06390,Colorado,MINERAL,20,Colorado and New Mexico,27,Colorado
06400,Colorado,MOFFAT,20,Colorado and New Mexico,27,Colorado
06410,Colorado,MONTEZUMA,20,Colorado and New Mexico,27,Colorado
06420,Colorado,MONTROSE,20,Colorado and New Mexico,27,Colorado
06430,Colorado,MORGAN,20,Colorado and New Mexico,27,Colorado
06440,Colorado,OTERO,20,Colorado and New Mexico,27,Colorado
06450,Colorado,OURAY,20,Colorado and New Mexico,27,Colorado
06460,Colorado,PARK,20,Colorado and New Mexico,27,Colorado
06470,Colorado,PHILLIPS,20,Colorado and New Mexico,27,Colorado
06480,Colorado,PITKIN,20,Colorado and New Mexico,27,Colorado
06490,Colorado,PROWERS,20,Colorado and New Mexico,27,Colorado
06500,Colorado,PUEBLO,20,Colorado and New Mexico,27,Colorado
06510,Colorado,RIO BLANCO,20,Colorado and New Mexico,27,Colorado
06520,Colorado,RIO GRANDE,20,Colorado and New Mexico,27,Colorado
06530,Colorado,ROUTT,20,Colorado and New Mexico,27,Colorado
06540,Colorado,SAGUACHE,20,Colorado and New Mexico,27,Colorado
06550,Colorado,SAN JUAN,20,Colorado and New Mexico,27,Colorado
06560,Colorado,SAN MIGUEL,20,Colorado and New Mexico,27,Colorado
06570,Colorado,SEDGWICK,20,Colorado and New Mexico,27,Colorado
06580,Colorado,SUMMIT,20,Colorado and New Mexico,27,Colorado
06590,Colorado,TELLER,20,Colorado and New Mexico,27,Colorado
06600,Colorado,WASHINGTON,20,Colorado and New Mexico,27,Colorado
06610,Colorado,WELD,20,Colorado and New Mexico,27,Colorado
06620,Colorado,YUMA,20,Colorado and New Mexico,27,Colorado
06630,Colorado,BROOMFIELD,20,Colorado and New Mexico,27,Colorado
06999,Colorado, ,20,Colorado and New Mexico,27,Colorado
07000,Connecticut,FAIRFIELD,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
07010,Connecticut,HARTFORD,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
07020,Connecticut,LITCHFIELD,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
07030,Connecticut,MIDDLESEX,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
07040,Connecticut,NEW HAVEN,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
07050,Connecticut,NEW LONDON,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
07060,Connecticut,TOLLAND,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
07070,Connecticut,WINDHAM,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
07999,Connecticut, ,2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)",2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
08000,Delaware,KENT,5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)",5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)"
08010,Delaware,NEW CASTLE,5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)",5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)"
08020,Delaware,SUSSEX,5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)",5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)"
08999,Delaware, ,5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)",5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)"
09000,District of Columbia,DISTRICT OF COLUMBIA,5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)",5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)"
10000,Florida,ALACHUA,9,Florida,11,Florida
10010,Florida,BAKER,9,Florida,11,Florida
10020,Florida,BAY,9,Florida,11,Florida
10030,Florida,BRADFORD,9,Florida,11,Florida
10040,Florida,BREVARD,9,Florida,11,Florida
10050,Florida,BROWARD,9,Florida,11,Florida
10060,Florida,CALHOUN,9,Florida,11,Florida
10070,Florida,CHARLOTTE,9,Florida,11,Florida
10080,Florida,CITRUS,9,Florida,11,Florida
10090,Florida,CLAY,9,Florida,11,Florida
10100,Florida,COLLIER,9,Florida,11,Florida
10110,Florida,COLUMBIA,9,Florida,11,Florida
10120,Florida,MIAMI-DADE,9,Florida,11,Florida
10130,Florida,DESOTO,9,Florida,11,Florida
10140,Florida,DIXIE,9,Florida,11,Florida
10150,Florida,DUVAL,9,Florida,11,Florida
10160,Florida,ESCAMBIA,9,Florida,11,Florida
10170,Florida,FLAGLER,9,Florida,11,Florida
10180,Florida,FRANKLIN,9,Florida,11,Florida
10190,Florida,GADSDEN,9,Florida,11,Florida
10200,Florida,GILCHRIST,9,Florida,11,Florida
10210,Florida,GLADES,9,Florida,11,Florida
10220,Florida,GULF,9,Florida,11,Florida
10230,Florida,HAMILTON,9,Florida,11,Florida
10240,Florida,HARDEE,9,Florida,11,Florida
10250,Florida,HENDRY,9,Florida,11,Florida
10260,Florida,HERNANDO,9,Florida,11,Florida
10270,Florida,HIGHLANDS,9,Florida,11,Florida
10280,Florida,HILLSBOROUGH,9,Florida,11,Florida
10290,Florida,HOLMES,9,Florida,11,Florida
10300,Florida,INDIAN RIVER,9,Florida,11,Florida
10310,Florida,JACKSON,9,Florida,11,Florida
10320,Florida,JEFFERSON,9,Florida,11,Florida
10330,Florida,LAFAYETTE,9,Florida,11,Florida
10340,Florida,LAKE,9,Florida,11,Florida
10350,Florida,LEE,9,Florida,11,Florida
10360,Florida,LEON,9,Florida,11,Florida
10370,Florida,LEVY,9,Florida,11,Florida
10380,Florida,LIBERTY,9,Florida,11,Florida
10390,Florida,MADISON,9,Florida,11,Florida
10400,Florida,MANATEE,9,Florida,11,Florida
10410,Florida,MARION,9,Florida,11,Florida
10420,Florida,MARTIN,9,Florida,11,Florida
10430,Florida,MONROE,9,Florida,11,Florida
10440,Florida,NASSAU,9,Florida,11,Florida
10450,Florida,OKALOOSA,9,Florida,11,Florida
10460,Florida,OKEECHOBEE,9,Florida,11,Florida
10470,Florida,ORANGE,9,Florida,11,Florida
10480,Florida,OSCEOLA,9,Florida,11,Florida
10490,Florida,PALM BEACH,9,Florida,11,Florida
10500,Florida,PASCO,9,Florida,11,Florida
10510,Florida,PINELLAS,9,Florida,11,Florida
10520,Florida,POLK,9,Florida,11,Florida
10530,Florida,PUTNAM,9,Florida,11,Florida
10540,Florida,SAINT JOHNS,9,Florida,11,Florida
10550,Florida,SAINT LUCIE,9,Florida,11,Florida
10560,Florida,SANTA ROSA,9,Florida,11,Florida
10570,Florida,SARASOTA,9,Florida,11,Florida
10580,Florida,SEMINOLE,9,Florida,11,Florida
10590,Florida,SUMTER,9,Florida,11,Florida
10600,Florida,SUWANNEE,9,Florida,11,Florida
10610,Florida,TAYLOR,9,Florida,11,Florida
10620,Florida,UNION,9,Florida,11,Florida
10630,Florida,VOLUSIA,9,Florida,11,Florida
10640,Florida,WAKULLA,9,Florida,11,Florida
10650,Florida,WALTON,9,Florida,11,Florida
10660,Florida,WASHINGTON,9,Florida,11,Florida
10999,Florida, ,9,Florida,11,Florida
11000,Georgia,APPLING,8,Georgia and South Carolina,10,Georgia
11010,Georgia,ATKINSON,8,Georgia and South Carolina,10,Georgia
11011,Georgia,BACON,8,Georgia and South Carolina,10,Georgia
11020,Georgia,BAKER,8,Georgia and South Carolina,10,Georgia
11030,Georgia,BALDWIN,8,Georgia and South Carolina,10,Georgia
11040,Georgia,BANKS,8,Georgia and South Carolina,10,Georgia
